r1,p1,r2,p2,c1,c2,subj
1.4615,-0.8839,-0.10407,-2.1162,0,0,46
1.4615,-2.8839,0.89593,0.88375,0,0,46
-0.53848,-2.8839,-0.10407,-3.1162,1,0,46
-0.53848,2.1161,-0.10407,-2.1162,1,0,46
-0.53848,1.1161,-0.10407,-1.1162,1,1,46
1.4615,1.1161,-1.1041,0.88375,0,1,46
0.46152,1.1161,0.89593,-1.1162,0,0,46
-0.53848,1.1161,-0.10407,0.88375,0,1,46
0.46152,1.1161,-1.1041,-1.1162,1,1,46
3.4615,1.1161,2.8959,-1.1162,1,0,46
3.4615,1.1161,-0.10407,0.88375,0,1,46
0.46152,1.1161,-3.1041,-1.1162,0,1,46
-1.5385,1.1161,-0.10407,0.88375,1,1,46
-1.5385,1.1161,-0.10407,0.88375,0,0,46
-1.5385,-1.8839,1.8959,-1.1162,1,1,46
1.4615,-1.8839,-0.10407,-2.1162,0,1,46
-1.5385,-1.8839,0.89593,-1.1162,0,0,46
0.46152,-1.8839,1.8959,-2.1162,0,0,46
0.46152,-1.8839,-0.10407,-2.1162,0,1,46
-2.5385,-1.8839,-0.10407,-1.1162,1,0,46
1.4615,-1.8839,2.8959,-2.1162,1,0,46
1.4615,4.1161,-1.1041,-1.1162,1,0,46
0.46152,4.1161,-0.10407,-1.1162,1,1,46
2.4615,4.1161,2.8959,-4.1162,0,0,46
2.4615,-3.8839,2.8959,-4.1162,0,1,46
-1.5385,-3.8839,1.8959,-1.1162,0,0,46
-1.5385,-0.8839,1.8959,-4.1162,0,1,46
-2.5385,-0.8839,2.8959,-4.1162,0,1,46
-1.5385,-0.8839,1.8959,-4.1162,0,1,46
0.46152,-0.8839,1.8959,-1.1162,1,0,46
3.4615,-0.8839,-0.10407,-4.1162,1,1,46
0.46152,-0.8839,-3.1041,-1.1162,1,0,46
3.4615,-0.8839,-3.1041,-1.1162,1,0,46
1.4615,-0.8839,-1.1041,-1.1162,1,1,46
1.4615,-0.8839,-0.10407,-4.1162,1,0,46
3.4615,-0.8839,-3.1041,-4.1162,0,1,46
-1.5385,-0.8839,0.89593,-1.1162,0,1,46
-1.5385,-1.8839,1.8959,-4.1162,0,1,46
-4.5385,-1.8839,0.89593,1.8838,1,0,46
-4.5385,3.1161,0.89593,-3.1162,1,0,46
-4.5385,2.1161,0.89593,-2.1162,1,1,46
3.4615,2.1161,4.8959,-4.1162,1,0,46
3.4615,3.1161,4.8959,-3.1162,1,0,46
3.4615,2.1161,4.8959,-2.1162,0,1,46
-1.5385,2.1161,1.8959,-2.1162,0,1,46
-1.5385,2.1161,1.8959,-2.1162,0,1,46
0.46152,2.1161,2.8959,-2.1162,0,0,46
-2.5385,2.1161,-0.10407,-2.1162,0,0,46
-2.5385,-0.8839,-0.10407,-1.1162,0,1,46
-2.5385,-0.8839,-3.1041,-2.1162,0,0,46
0.46152,0.1161,-0.10407,-0.11625,0,1,47
0.46152,0.1161,-0.10407,-0.11625,1,1,47
0.46152,2.1161,-0.10407,1.8838,1,1,47
0.46152,2.1161,-0.10407,1.8838,0,0,47
0.46152,-1.8839,-0.10407,-0.11625,0,1,47
-0.53848,-1.8839,-0.10407,-2.1162,1,0,47
-0.53848,3.1161,-0.10407,-3.1162,1,0,47
-0.53848,2.1161,-0.10407,-2.1162,0,1,47
0.46152,2.1161,0.89593,-0.11625,0,0,47
-2.5385,2.1161,-0.10407,-2.1162,1,0,47
-2.5385,4.1161,-3.1041,-0.11625,0,1,47
-4.5385,4.1161,4.8959,-0.11625,1,1,47
4.4615,4.1161,3.8959,-0.11625,0,0,47
4.4615,-1.8839,3.8959,-2.1162,0,1,47
-2.5385,-1.8839,-0.10407,-4.1162,1,1,47
-2.5385,3.1161,2.8959,-2.1162,0,1,47
-2.5385,-0.8839,2.8959,0.88375,0,1,47
-2.5385,-0.8839,2.8959,0.88375,1,1,47
-2.5385,2.1161,2.8959,1.8838,0,1,47
-2.5385,-1.8839,-0.10407,2.8838,1,1,47
1.4615,-1.8839,0.89593,2.8838,1,1,47
1.4615,-1.8839,0.89593,2.8838,0,1,47
-1.5385,-1.8839,2.8959,1.8838,0,1,47
-0.53848,-1.8839,1.8959,2.8838,1,1,47
3.4615,-1.8839,2.8959,2.8838,1,1,47
4.4615,-1.8839,0.89593,1.8838,0,1,47
4.4615,-2.8839,0.89593,2.8838,0,1,47
4.4615,-3.8839,3.8959,2.8838,0,1,47
-2.5385,-3.8839,2.8959,2.8838,1,1,47
2.4615,-3.8839,1.8959,2.8838,1,1,47
4.4615,-3.8839,0.89593,3.8838,0,1,47
4.4615,-0.8839,0.89593,0.88375,0,1,47
0.46152,-0.8839,3.8959,2.8838,1,1,47
2.4615,-0.8839,1.8959,2.8838,1,1,47
0.46152,-0.8839,-0.10407,0.88375,0,0,47
-0.53848,-0.8839,-0.10407,2.8838,0,1,47
-0.53848,-1.8839,-1.1041,0.88375,1,0,47
3.4615,-1.8839,-0.10407,1.8838,1,1,47
3.4615,1.1161,-3.1041,0.88375,0,1,47
-3.5385,1.1161,3.8959,0.88375,0,1,47
-3.5385,1.1161,-0.10407,0.88375,1,1,47
-3.5385,5.1161,3.8959,0.88375,1,1,47
2.4615,5.1161,-0.10407,4.8838,0,1,47
2.4615,-0.8839,1.8959,0.88375,0,1,47
-2.5385,-0.8839,-0.10407,0.88375,1,0,47
-2.5385,1.1161,-0.10407,-1.1162,1,1,47
-2.5385,1.1161,2.8959,0.88375,0,1,47
-1.5385,1.1161,1.8959,0.88375,0,1,47
-2.5385,1.1161,2.8959,0.88375,1,1,47
2.4615,1.1161,1.8959,0.88375,1,1,47
2.4615,1.1161,-0.10407,0.88375,0,1,47
-1.5385,1.1161,1.8959,0.88375,0,1,47
-2.5385,1.1161,1.8959,0.88375,1,1,47
0.46152,1.1161,-0.10407,0.88375,1,1,47
0.46152,1.1161,-0.10407,0.88375,0,1,47
0.46152,-0.8839,2.8959,0.88375,0,1,47
-1.5385,-0.8839,-0.10407,0.88375,1,1,47
-1.5385,2.1161,-0.10407,1.8838,1,0,47
0.46152,2.1161,1.8959,0.88375,0,1,47
-0.53848,2.1161,0.89593,0.88375,0,1,47
0.46152,2.1161,-0.10407,1.8838,1,0,47
0.46152,2.1161,-0.10407,0.88375,1,1,47
0.46152,1.1161,-0.10407,1.8838,0,0,47
-1.5385,1.1161,-0.10407,0.88375,0,1,47
-1.5385,-2.8839,-2.1041,1.8838,1,0,47
4.4615,-2.8839,-0.10407,2.8838,1,0,47
0.46152,-2.8839,-0.10407,2.8838,0,0,47
-0.53848,-2.8839,-1.1041,2.8838,0,0,47
-2.5385,-2.8839,-3.1041,2.8838,1,0,47
5.4615,-2.8839,-4.1041,1.8838,1,0,47
1.4615,-2.8839,-5.1041,2.8838,0,0,47
-3.5385,-2.8839,-1.1041,1.8838,0,0,47
-3.5385,-1.8839,-1.1041,-2.1162,1,1,47
-3.5385,4.1161,-1.1041,3.8838,1,0,47
-3.5385,2.1161,-4.1041,2.8838,0,0,47
-1.5385,2.1161,-2.1041,2.8838,0,0,47
-1.5385,2.1161,-2.1041,2.8838,1,0,47
0.46152,2.1161,-0.10407,2.8838,0,0,47
-0.53848,2.1161,-1.1041,2.8838,0,0,47
0.46152,2.1161,-1.1041,-2.1162,1,0,47
2.4615,2.1161,-0.10407,2.8838,1,0,47
0.46152,2.1161,-0.10407,2.8838,0,0,47
0.46152,2.1161,-0.10407,2.8838,0,0,47
0.46152,-0.8839,-2.1041,-2.1162,1,1,47
0.46152,4.1161,-0.10407,-1.1162,1,1,47
0.46152,3.1161,-2.1041,3.8838,0,0,47
-3.5385,3.1161,-0.10407,2.8838,0,0,47
-3.5385,-0.8839,-4.1041,3.8838,1,0,47
2.4615,-0.8839,-2.1041,3.8838,1,0,47
0.46152,-0.8839,-0.10407,3.8838,0,0,47
0.46152,-1.8839,-0.10407,-2.1162,0,0,47
0.46152,-1.8839,-0.10407,-2.1162,1,1,47
0.46152,3.1161,-0.10407,2.8838,1,0,47
0.46152,2.1161,-0.10407,-1.1162,0,1,47
0.46152,2.1161,-0.10407,-1.1162,0,1,47
0.46152,-0.8839,-0.10407,-2.1162,1,0,47
0.46152,-0.8839,-0.10407,-2.1162,1,1,47
0.46152,2.1161,-0.10407,1.8838,0,0,47
0.46152,-1.8839,-0.10407,-2.1162,0,1,47
0.46152,-3.8839,-0.10407,3.8838,1,0,47
0.46152,3.1161,-0.10407,-3.1162,1,0,47
0.46152,2.1161,-0.10407,0.88375,0,1,47
-2.5385,2.1161,2.8959,0.88375,0,1,47
-0.53848,2.1161,0.89593,0.88375,0,1,47
0.46152,2.1161,-0.10407,-2.1162,0,1,47
-3.5385,2.1161,-0.10407,0.88375,0,1,47
0.46152,2.1161,-0.10407,0.88375,0,1,47
0.46152,2.1161,-0.10407,0.88375,0,1,47
0.46152,2.1161,3.8959,-2.1162,0,1,47
-1.5385,2.1161,1.8959,-2.1162,0,1,47
-0.53848,2.1161,-0.10407,0.88375,0,0,47
-0.53848,-1.8839,-0.10407,-2.1162,0,0,47
0.46152,-1.8839,-0.10407,-2.1162,0,1,47
-1.5385,-1.8839,0.89593,-2.1162,0,1,47
0.46152,-1.8839,1.8959,-2.1162,0,0,47
0.46152,-1.8839,-0.10407,-2.1162,0,0,47
0.46152,-0.8839,-0.10407,-1.1162,0,1,47
-1.5385,-0.8839,-0.10407,-2.1162,0,0,47
0.46152,-0.8839,1.8959,-1.1162,0,1,47
-1.5385,-0.8839,1.8959,-1.1162,0,1,47
-1.5385,-0.8839,1.8959,-1.1162,0,1,47
-0.53848,-0.8839,0.89593,-1.1162,0,1,47
-1.5385,-0.8839,-0.10407,-2.1162,0,1,47
-2.5385,-0.8839,1.8959,-1.1162,0,1,47
-2.5385,-0.8839,2.8959,-1.1162,0,1,47
-1.5385,-0.8839,1.8959,-1.1162,0,1,47
0.46152,-0.8839,-0.10407,-1.1162,0,1,47
0.46152,-0.8839,2.8959,-2.1162,0,1,47
-1.5385,-0.8839,-0.10407,0.88375,0,0,47
0.46152,-0.8839,-0.10407,0.88375,0,0,47
0.46152,-0.8839,-0.10407,0.88375,0,0,47
0.46152,-0.8839,1.8959,-2.1162,0,1,47
0.46152,-0.8839,-0.10407,0.88375,0,1,47
-1.5385,-0.8839,1.8959,0.88375,0,0,47
-1.5385,-2.8839,1.8959,0.88375,0,1,47
-4.5385,-2.8839,4.8959,0.88375,0,1,47
-3.5385,-2.8839,3.8959,0.88375,0,1,47
-2.5385,-2.8839,2.8959,0.88375,0,1,47
-2.5385,-2.8839,1.8959,-3.1162,0,1,47
-3.5385,-2.8839,3.8959,-3.1162,0,1,47
-2.5385,-2.8839,2.8959,0.88375,0,1,47
-1.5385,-2.8839,1.8959,0.88375,0,1,47
-1.5385,-2.8839,1.8959,0.88375,0,1,47
0.46152,-2.8839,2.8959,-3.1162,0,1,47
0.46152,-0.8839,-0.10407,0.88375,0,0,47
0.46152,-0.8839,-0.10407,-1.1162,0,1,47
-2.5385,-0.8839,2.8959,0.88375,0,0,47
0.46152,0.1161,-0.10407,-0.11625,0,0,50
-4.5385,0.1161,-5.1041,-0.11625,0,1,50
-0.53848,0.1161,-0.10407,-0.11625,1,1,50
0.46152,0.1161,0.89593,-0.11625,1,1,50
0.46152,0.1161,-0.10407,-0.11625,1,0,50
0.46152,1.1161,-0.10407,-0.11625,0,0,50
-2.5385,1.1161,-3.1041,-0.11625,0,1,50
-2.5385,1.1161,-0.10407,-1.1162,0,1,50
0.46152,1.1161,2.8959,-0.11625,0,1,50
-3.5385,1.1161,3.8959,-0.11625,0,0,50
-0.53848,1.1161,-1.1041,-0.11625,0,0,50
-0.53848,1.1161,-0.10407,-1.1162,0,1,50
-0.53848,-2.8839,-1.1041,-0.11625,0,0,50
-0.53848,-1.8839,-0.10407,2.8838,1,1,50
-0.53848,4.1161,-0.10407,3.8838,1,0,50
1.4615,4.1161,-1.1041,3.8838,1,0,50
2.4615,4.1161,-2.1041,3.8838,1,0,50
2.4615,4.1161,-1.1041,-2.1162,1,1,50
2.4615,2.1161,-2.1041,3.8838,1,0,50
4.4615,2.1161,-4.1041,3.8838,1,0,50
4.4615,2.1161,-4.1041,3.8838,1,0,50
2.4615,2.1161,-1.1041,1.8838,1,0,50
2.4615,3.1161,-1.1041,-3.1162,0,0,50
2.4615,-2.8839,-1.1041,-3.1162,0,0,50
2.4615,-3.8839,-1.1041,-4.1162,0,0,50
2.4615,-1.8839,-1.1041,-2.1162,0,0,50
-0.53848,-1.8839,-1.1041,-2.1162,0,1,50
-0.53848,-3.8839,-2.1041,3.8838,0,0,50
-0.53848,-3.8839,-1.1041,3.8838,0,1,50
-0.53848,-2.8839,-1.1041,2.8838,0,0,50
-0.53848,-2.8839,-1.1041,3.8838,0,1,50
-3.5385,-2.8839,-1.1041,2.8838,0,0,50
-1.5385,-2.8839,-2.1041,2.8838,0,0,50
0.46152,-2.8839,-0.10407,2.8838,0,0,50
0.46152,-2.8839,-0.10407,2.8838,0,0,50
0.46152,-0.8839,-0.10407,-1.1162,0,1,50
-1.5385,-0.8839,1.8959,-1.1162,1,1,50
3.4615,-0.8839,2.8959,-1.1162,1,1,50
5.4615,-0.8839,3.8959,3.8838,1,1,50
5.4615,1.1161,3.8959,0.88375,1,0,50
5.4615,1.1161,4.8959,-1.1162,0,1,50
-3.5385,1.1161,3.8959,-1.1162,0,1,50
-2.5385,1.1161,3.8959,-1.1162,0,1,50
-2.5385,-2.8839,2.8959,-1.1162,1,1,50
3.4615,-2.8839,3.8959,2.8838,1,0,50
3.4615,2.1161,2.8959,-1.1162,0,1,50
0.46152,2.1161,-0.10407,-1.1162,0,1,50
0.46152,2.1161,-0.10407,-1.1162,0,0,50
-2.5385,2.1161,-3.1041,-1.1162,0,0,50
-0.53848,2.1161,3.8959,-2.1162,0,0,50
-1.5385,2.1161,-2.1041,-2.1162,0,0,50
-2.5385,2.1161,-3.1041,-2.1162,0,0,50
-1.5385,2.1161,-1.1041,-1.1162,0,1,50
-2.5385,2.1161,2.8959,-1.1162,0,1,50
-0.53848,2.1161,0.89593,-1.1162,1,1,50
2.4615,2.1161,-2.1041,-2.1162,1,0,50
2.4615,1.1161,-2.1041,-1.1162,1,0,50
0.46152,1.1161,1.8959,-1.1162,0,1,50
-0.53848,1.1161,0.89593,-1.1162,0,1,50
-0.53848,1.1161,0.89593,-1.1162,0,1,50
0.46152,1.1161,-0.10407,-1.1162,0,0,50
0.46152,1.1161,-0.10407,-1.1162,0,0,50
-0.53848,1.1161,-1.1041,-1.1162,0,0,50
-1.5385,1.1161,-0.10407,-1.1162,0,1,50
-1.5385,-2.8839,-0.10407,2.8838,0,0,50
-1.5385,-0.8839,-2.1041,-1.1162,0,0,50
-2.5385,-0.8839,-3.1041,-1.1162,1,0,50
4.4615,-0.8839,-4.1041,-1.1162,1,0,50
3.4615,-0.8839,-0.10407,-1.1162,1,1,50
0.46152,-0.8839,-0.10407,-1.1162,0,1,50
0.46152,-0.8839,-3.1041,-1.1162,1,0,50
0.46152,-0.8839,-0.10407,-1.1162,0,0,50
0.46152,-1.8839,-0.10407,-2.1162,1,0,50
0.46152,3.1161,-0.10407,-1.1162,0,1,50
-1.5385,3.1161,1.8959,-1.1162,0,1,50
-3.5385,3.1161,3.8959,-1.1162,0,1,50
-2.5385,3.1161,-0.10407,-3.1162,0,0,50
-2.5385,-1.8839,2.8959,-1.1162,0,1,50
-1.5385,-1.8839,1.8959,-1.1162,0,1,50
-1.5385,-1.8839,1.8959,-1.1162,0,1,50
0.46152,-1.8839,-0.10407,-1.1162,0,1,50
0.46152,-1.8839,-0.10407,-2.1162,0,1,50
0.46152,-3.8839,-0.10407,-1.1162,0,1,50
0.46152,-3.8839,-0.10407,3.8838,0,0,50
0.46152,-0.8839,-0.10407,-1.1162,0,0,50
0.46152,-0.8839,-0.10407,-1.1162,1,1,50
0.46152,3.1161,-0.10407,2.8838,1,0,50
0.46152,3.1161,-0.10407,-3.1162,0,0,50
0.46152,-0.8839,-0.10407,3.8838,1,0,50
2.4615,-0.8839,-2.1041,3.8838,1,0,50
0.46152,-0.8839,-0.10407,-1.1162,1,1,50
5.4615,-0.8839,-0.10407,3.8838,0,0,50
5.4615,-1.8839,4.8959,-1.1162,0,1,50
-2.5385,-1.8839,2.8959,-1.1162,0,1,50
-1.5385,-1.8839,1.8959,-1.1162,0,1,50
0.46152,-1.8839,-0.10407,-2.1162,1,0,50
0.46152,-1.8839,-0.10407,-1.1162,0,1,50
0.46152,-0.8839,-0.10407,-2.1162,1,0,50
0.46152,1.1161,-0.10407,-1.1162,0,0,50
0.46152,-1.8839,-0.10407,0.88375,1,1,50
3.4615,-1.8839,-0.10407,-2.1162,1,1,50
3.4615,3.1161,2.8959,0.88375,0,1,50
-3.5385,3.1161,3.8959,0.88375,0,1,50
-2.5385,3.1161,2.8959,0.88375,0,1,50
-0.53848,3.1161,0.89593,0.88375,0,1,50
0.46152,3.1161,-0.10407,2.8838,0,0,50
-0.53848,3.1161,-0.10407,0.88375,0,1,50
0.46152,3.1161,-0.10407,0.88375,0,1,50
0.46152,3.1161,-0.10407,0.88375,0,1,50
0.46152,3.1161,-0.10407,0.88375,0,1,50
0.46152,3.1161,-1.1041,2.8838,0,0,50
-3.5385,3.1161,-4.1041,2.8838,0,0,50
-2.5385,3.1161,-0.10407,0.88375,0,1,50
-2.5385,-1.8839,-0.10407,1.8838,0,0,50
0.46152,-1.8839,-0.10407,1.8838,0,0,50
-1.5385,-1.8839,-3.1041,2.8838,0,0,50
0.46152,-1.8839,-2.1041,1.8838,0,1,50
-2.5385,-1.8839,2.8959,1.8838,0,1,50
-2.5385,-1.8839,2.8959,1.8838,0,1,50
-1.5385,-1.8839,-0.10407,2.8838,0,0,50
0.46152,-1.8839,1.8959,1.8838,0,1,50
-1.5385,-1.8839,1.8959,1.8838,0,1,50
-1.5385,-1.8839,1.8959,1.8838,0,1,50
-0.53848,-1.8839,0.89593,1.8838,0,1,50
-1.5385,-1.8839,-0.10407,2.8838,0,0,50
-1.5385,-0.8839,1.8959,1.8838,0,1,50
-2.5385,-0.8839,2.8959,1.8838,0,1,50
-1.5385,-0.8839,1.8959,1.8838,0,1,50
0.46152,-0.8839,-0.10407,-1.1162,1,0,50
3.4615,-0.8839,-0.10407,1.8838,1,1,50
0.46152,-0.8839,-3.1041,-1.1162,1,0,50
3.4615,-0.8839,-3.1041,-1.1162,1,0,50
1.4615,-0.8839,-1.1041,-1.1162,1,0,50
1.4615,-0.8839,-0.10407,1.8838,1,1,50
3.4615,-0.8839,-1.1041,-1.1162,1,0,50
3.4615,2.1161,-1.1041,-2.1162,0,0,50
3.4615,-2.8839,2.8959,1.8838,0,1,50
-4.5385,-2.8839,4.8959,1.8838,0,1,50
-3.5385,-2.8839,3.8959,1.8838,0,1,50
-2.5385,-2.8839,2.8959,1.8838,0,1,50
-2.5385,-2.8839,-1.1041,-3.1162,0,0,50
-2.5385,-2.8839,-1.1041,-3.1162,0,0,50
-2.5385,-1.8839,-1.1041,-2.1162,1,0,50
-2.5385,1.1161,-1.1041,-1.1162,1,0,50
-2.5385,1.1161,-1.1041,-1.1162,1,0,50
0.46152,1.1161,-0.10407,-1.1162,0,0,50
-2.5385,1.1161,2.8959,1.8838,0,1,50
-2.5385,1.1161,2.8959,1.8838,0,1,50
-2.5385,1.1161,-3.1041,-1.1162,0,0,50
0.46152,0.1161,-0.10407,-0.11625,0,0,51
-4.5385,0.1161,-5.1041,-0.11625,0,0,51
-3.5385,0.1161,-4.1041,-0.11625,0,1,51
-0.53848,0.1161,-0.10407,-0.11625,0,1,51
0.46152,0.1161,0.89593,-0.11625,0,0,51
-1.5385,0.1161,-2.1041,-0.11625,0,0,51
-2.5385,0.1161,-3.1041,-0.11625,0,0,51
-2.5385,0.1161,-0.10407,-0.11625,0,0,51
-2.5385,-2.8839,-3.1041,-0.11625,0,0,51
-2.5385,-2.8839,-3.1041,-0.11625,0,0,51
-0.53848,-2.8839,-1.1041,-0.11625,0,0,51
-0.53848,-2.8839,-0.10407,-3.1162,0,1,51
-0.53848,-2.8839,-1.1041,-0.11625,0,0,51
-0.53848,-1.8839,-1.1041,-2.1162,0,0,51
-0.53848,-1.8839,-1.1041,-2.1162,0,1,51
-1.5385,-1.8839,1.8959,-2.1162,0,1,51
-1.5385,-0.8839,1.8959,0.88375,0,0,51
-1.5385,-3.8839,-0.10407,2.8838,0,0,51
-2.5385,-3.8839,1.8959,-4.1162,0,1,51
-2.5385,-1.8839,1.8959,1.8838,0,0,51
-2.5385,-1.8839,1.8959,-2.1162,0,0,51
-2.5385,-1.8839,-3.1041,2.8838,0,1,51
-1.5385,-1.8839,1.8959,2.8838,1,1,51
2.4615,-1.8839,1.8959,-2.1162,0,0,51
2.4615,-3.8839,1.8959,-4.1162,0,1,51
-2.5385,-3.8839,2.8959,-4.1162,0,0,51
-0.53848,-3.8839,-1.1041,-4.1162,0,0,51
-0.53848,-0.8839,1.8959,2.8838,0,0,51
-0.53848,-0.8839,-1.1041,-1.1162,0,1,51
-0.53848,-2.8839,-1.1041,2.8838,1,1,51
4.4615,-2.8839,-1.1041,2.8838,1,0,51
2.4615,-2.8839,3.8959,2.8838,1,1,51
4.4615,-2.8839,3.8959,2.8838,1,1,51
3.4615,-2.8839,2.8959,2.8838,1,1,51
2.4615,-2.8839,1.8959,2.8838,1,1,51
0.46152,-2.8839,-0.10407,2.8838,1,0,51
0.46152,1.1161,-0.10407,-1.1162,0,1,51
0.46152,-1.8839,-0.10407,1.8838,0,0,51
0.46152,-1.8839,-0.10407,-2.1162,1,0,51
0.46152,3.1161,-0.10407,-3.1162,1,0,51
0.46152,1.1161,-2.1041,2.8838,0,0,51
0.46152,1.1161,-0.10407,2.8838,0,0,51
0.46152,-0.8839,-0.10407,-1.1162,0,0,51
0.46152,-1.8839,-0.10407,-2.1162,0,1,51
0.46152,-0.8839,-0.10407,-1.1162,0,1,51
-2.5385,-0.8839,2.8959,-1.1162,0,1,51
0.46152,-0.8839,-0.10407,-1.1162,0,0,51
-3.5385,-0.8839,-4.1041,-1.1162,0,0,51
-2.5385,-0.8839,-3.1041,-1.1162,0,0,51
-0.53848,-0.8839,-0.10407,0.88375,0,0,51
-1.5385,-0.8839,-2.1041,0.88375,0,0,51
-2.5385,-0.8839,-3.1041,0.88375,0,0,51
-1.5385,-0.8839,-1.1041,-1.1162,0,0,51
-2.5385,-0.8839,-3.1041,-1.1162,0,0,51
-1.5385,-0.8839,-2.1041,-1.1162,0,0,51
-2.5385,-0.8839,-2.1041,0.88375,0,1,51
-2.5385,-0.8839,-3.1041,-1.1162,0,0,51
-2.5385,-0.8839,-3.1041,-1.1162,0,0,51
-3.5385,-0.8839,-4.1041,-1.1162,0,0,51
-4.5385,-0.8839,-5.1041,-1.1162,0,0,51
-3.5385,-0.8839,-4.1041,-1.1162,0,0,51
0.46152,-0.8839,-0.10407,-1.1162,0,1,51
0.46152,-0.8839,-2.1041,0.88375,0,0,51
-0.53848,-0.8839,-0.10407,-1.1162,0,1,51
-0.53848,-2.8839,-0.10407,2.8838,0,0,51
-2.5385,-2.8839,-1.1041,0.88375,0,0,51
-0.53848,-2.8839,-3.1041,2.8838,0,0,51
-3.5385,-2.8839,-1.1041,0.88375,0,1,51
-3.5385,-3.8839,-4.1041,2.8838,0,0,51
-2.5385,-3.8839,-3.1041,2.8838,0,0,51
-2.5385,-3.8839,-3.1041,2.8838,0,0,51
-1.5385,-3.8839,-2.1041,2.8838,0,0,51
-1.5385,-3.8839,-1.1041,3.8838,0,0,51
-1.5385,-1.8839,-2.1041,2.8838,0,0,51
-0.53848,-1.8839,-1.1041,2.8838,0,0,51
-0.53848,-1.8839,-1.1041,2.8838,0,0,51
0.46152,-1.8839,-0.10407,2.8838,0,1,51
0.46152,-1.8839,-1.1041,-2.1162,0,0,51
-3.5385,-1.8839,-0.10407,2.8838,0,0,51
0.46152,-1.8839,-0.10407,2.8838,0,0,51
0.46152,-0.8839,-0.10407,-1.1162,0,1,51
0.46152,-2.8839,-4.1041,-2.1162,0,0,51
-3.5385,-2.8839,-4.1041,-2.1162,0,0,51
-3.5385,-2.8839,-0.10407,2.8838,0,0,51
-3.5385,-0.8839,-0.10407,-1.1162,0,0,51
-3.5385,-0.8839,-0.10407,-1.1162,0,1,51
-3.5385,-0.8839,-4.1041,-2.1162,0,0,51
-3.5385,-1.8839,-4.1041,-2.1162,0,0,51
-3.5385,-1.8839,3.8959,-1.1162,0,1,51
-2.5385,-1.8839,2.8959,-1.1162,0,1,51
-1.5385,-1.8839,1.8959,-1.1162,0,1,51
0.46152,-1.8839,-0.10407,-1.1162,0,1,51
0.46152,-0.8839,-0.10407,0.88375,0,0,51
-3.5385,-0.8839,-4.1041,0.88375,0,0,51
-3.5385,-0.8839,-4.1041,-2.1162,0,0,51
-3.5385,-1.8839,-4.1041,-2.1162,0,1,51
-3.5385,-3.8839,-4.1041,0.88375,0,0,51
-0.53848,-3.8839,-1.1041,0.88375,0,0,51
0.46152,-3.8839,-0.10407,0.88375,0,1,51
-2.5385,-3.8839,2.8959,0.88375,0,1,51
-0.53848,-3.8839,0.89593,0.88375,0,1,51
0.46152,-3.8839,-4.1041,3.8838,0,1,51
-3.5385,-3.8839,-0.10407,0.88375,0,1,51
0.46152,-3.8839,-0.10407,0.88375,0,0,51
0.46152,-3.8839,-0.10407,0.88375,0,0,51
0.46152,-0.8839,-0.10407,-1.1162,0,1,51
0.46152,-0.8839,3.8959,3.8838,0,1,51
-1.5385,-0.8839,1.8959,3.8838,0,0,51
-2.5385,-0.8839,-0.10407,-1.1162,0,1,51
-2.5385,-1.8839,-0.10407,1.8838,0,0,51
0.46152,-1.8839,-0.10407,1.8838,0,0,51
-1.5385,-1.8839,-3.1041,3.8838,0,0,51
0.46152,-1.8839,-2.1041,1.8838,0,0,51
0.46152,-1.8839,-0.10407,1.8838,0,1,51
-2.5385,-1.8839,2.8959,1.8838,0,1,51
-1.5385,-1.8839,-0.10407,3.8838,0,0,51
0.46152,-1.8839,1.8959,1.8838,0,1,51
-1.5385,-1.8839,1.8959,1.8838,0,1,51
-1.5385,-1.8839,1.8959,1.8838,0,1,51
-0.53848,-1.8839,0.89593,1.8838,0,1,51
-1.5385,-1.8839,-0.10407,3.8838,0,0,51
-1.5385,-0.8839,1.8959,1.8838,0,1,51
-2.5385,-0.8839,2.8959,1.8838,0,1,51
-1.5385,-0.8839,1.8959,1.8838,0,1,51
0.46152,-0.8839,-0.10407,1.8838,0,1,51
0.46152,-0.8839,-0.10407,-1.1162,0,0,51
-1.5385,-0.8839,-0.10407,0.88375,0,0,51
0.46152,-0.8839,-0.10407,0.88375,0,0,51
0.46152,-0.8839,-0.10407,0.88375,0,0,51
0.46152,-0.8839,-2.1041,-1.1162,0,0,51
0.46152,-0.8839,-0.10407,0.88375,0,0,51
-2.5385,-0.8839,-2.1041,-1.1162,0,1,51
-2.5385,-1.8839,-3.1041,0.88375,0,0,51
-0.53848,-1.8839,-1.1041,0.88375,0,1,51
-3.5385,-1.8839,3.8959,0.88375,0,1,51
-2.5385,-1.8839,2.8959,0.88375,0,1,51
-2.5385,-1.8839,-2.1041,1.8838,0,0,51
-2.5385,-2.8839,-2.1041,-3.1162,0,1,51
-2.5385,-2.8839,2.8959,0.88375,0,1,51
-1.5385,-2.8839,1.8959,0.88375,0,1,51
-1.5385,-2.8839,1.8959,0.88375,0,1,51
0.46152,-2.8839,2.8959,-3.1162,0,0,51
-2.5385,-2.8839,-0.10407,0.88375,0,1,51
-2.5385,-2.8839,2.8959,0.88375,0,1,51
-2.5385,-2.8839,-3.1041,-3.1162,0,0,51
0.46152,0.1161,-0.10407,-0.11625,0,1,53
0.46152,0.1161,-0.10407,-0.11625,1,0,53
